client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
05d33ad00cc2754da8e542a33a5255f9346535ef1d8619094bbc8c90c53bfad43e930bcb2fa598f614c6c90e173590a673905fb59a1ef581576cd5ccaed57241	common_voice_en_40117514.mp3	e9475052b6e625f8c5890389e4ffc17a1078dec14835925a8cd99aa36c936f03	It was a sickening sight.		2	0	twenties	male_masculine	Australian English		en	
08072f2de4dcc2bfec5058dca41eb9535b61ccd193ecc470a47e35bfbbc493a23eb27db8b224d1f351e872dd02755871ac2ffc896fb14878422662d5e63456cc	common_voice_en_39603786.mp3	e4657d8d47be955eb14e04cd1c2a2b9ef89d310f63967862daefaa40a73da5a8	It is made by mounting a sidecar to a regular bicycle.		2	0	sixties	male_masculine	United States English		en	
0a0db76f30e3d011216425efa204fa0d3064767656b913c1a15964ff4d3409d95a04609ab2c57d21c7ae225ce115dbc38160c92974e7194071f4af178f4ea762	common_voice_en_40048623.mp3	e8d41398f8083305ed38cbd768b3d9315f8eb07cfb8bef79b4fdeb479bdd6b82	Sharon decided not to proceed with their demolition, however.		2	0	twenties	male_masculine	India and South Asia (India, Pakistan, Sri Lanka)		en	
159048f3358b0c2995f83110186bc2401d707585e7a36df675047aa9b2731726f7d9465a58ac00e6f447b2a20832445b66a8f5bb432a29b05d84564a41ba6f51	common_voice_en_39602035.mp3	e44a0fc63667e6f9df4e64609579ee2fbfb5565d4a2cec95b35368d0aeb82ba7	"Nelson appeared in both the stage and screen versions of ""Mary, Mary""."		2	0	sixties	male_masculine	Canadian English		en	
1dff59d07c4718b02238d94f96899fe4afe8b4997ca0cb04378384177e5befc888a5a91886cd56c09e8f6647d4a4448fe8c3d1ff17038b217fee48816050a698	common_voice_en_39593984.mp3	e41527317d10ade98699b3603bf3395d70e1f8517abf1f1656459967fa85bcde	He first saw the completed typeface in Swedish design magazines during the war.		2	0	teens	male_masculine	Canadian English		en	
203a7ad5617f002bfd89689498d053944333c24b4ca35930f8ed352941b2cbfd30e789046caaee8054bcfbba74ad521662094194042c64f199e0d5913d559c99	common_voice_en_39644638.mp3	e4cddf1a1b173cd7a97b0255c51760c3c702892e8d51d7cfcf93648942408072	Public bathrooms are available in all stands.		2	0	teens	male_masculine			en	
2a8e29ea18485d0a1d36665c349fde5229fa2acddd5fc6643ae394f91b2ac70bed74bdd7796cfada3e3a40a9d7e2b4892c26d73013a14695ce3be612987467e4	common_voice_en_39601833.mp3	e426962e3f28a18c6ff59a6efb0a0158309e7ce33b93a0e1a0105e6d7e19e2a4	The moons of other planets are not represented in the scale model.		2	0	fourties	male_masculine	Icelandic		en	
3a515a07ead0c8bfa2b0c182415047364f01de7ee9a73262402b19ebb9838def3e528028a04f661ea32fc2ffee4435cc5833cccf74966eb3201a3fc88b7053f4	common_voice_en_39884011.mp3	e73b2da0d041e1dfde3baf7dab1b225334064ffc24b733908679cee9b0f74bec	This plugin can do both classic delay sounds and unusual sound effects.		2	0	thirties	male_masculine	United States English		en	
4d1b769204fb4359a769c312625f7bee7b62bb4f03f98902dcc0594e19c4a04524b22cac19e232a7779a21161daf0c80d6eb46d040e5bbacdd76d8f0f092bb7f	common_voice_en_39985908.mp3	e859de842f6312bee75b3d53b8b63919bf29391ab62b3238c3d440cb54017eba	The Great Smoky Mountains Railway stops here during excursions.		2	0	twenties	male_masculine	England English		en	
5f6680c094e5dd392d07717fbbf79005cff39d05608f224ff47eb76e36e200613a0baed09e10e5c0094051ee364db5a5c52e9df39cbefbc4c829cbb1ee4d7707	common_voice_en_39807154.mp3	e68979a75b0a012c34d1624f60363370ba2a7556e34ba7e768cdc056c9c5e1d5	The sleeve and jacket made no mention of the track titles.		2	0	twenties	male_masculine			en	
6343f0343eece8ab2a25f16e078895a5477a4100fabcf55f67e05092a77733c344ea6b06fdcdaafe8ce6185b8eba7f31a27eedc8a297cadddf4b69511ee5e7f1	common_voice_en_39764879.mp3	e622383dc45b2599df7901eea42d84ba0fd173a138cd79f6d950868767a6f624	The legislation was a failure for a number of reasons.		2	0	fourties	female_feminine	Latin American accent influenced by American English 		en	
6460502bcbb07a5c8807368369192155fb74c29377d2b9c2ded5c864e66a621f5b5453bd43c72d38f5e8e1ca6b30b8b1992b17eb16ed6097d5e85a7a31b69313	common_voice_en_39859218.mp3	e6e6584875598606003790ff1c7d8ebc045048fb6fffc8007c8bafbe3e08399d	He made a name for himself as a playwright and actor.		3	0	twenties	male_masculine	England English,London English		en	
667e9edb4d984bbc4ef1e04baf1a6521af7325321fdf51d8ec9d3521cfa8423031f9bb678c104fbcb0977813c0f679004b66c2fa98db235694e2cc07f19b71b7	common_voice_en_39588352.mp3	e3be871121c1fa394448802c205ade6dfee6bc11db22a1b872d0ea1c79e41623	The party now had the necessary votes to form a minority government.		2	0	thirties	male_masculine			en	
6d052312286b468ce233852227d9e3ce48540bfaf087c995248cafa31d14edce6a86f9ab3e2b0c5317bfb89add9e2b997fa995c1f41581b1f2ad096ef9a5af93	common_voice_en_39587510.mp3	e39cfe947c97316883a7b9ed9dab1b9b4017754c40cb074b8946bf4d6ad9c483	Hunt was out on the spot, whereas Andretti spun and rejoined fourth.		2	0	thirties	male_masculine	United States English		en	
6f12a63dc6054766210b7fc3039c85822370c1a78b1845c38fb859a917ec92181f0f841adc4e9badf0606367c7db3f8c6a3d1850a844ec5cefcf58adf6c5b263	common_voice_en_39646538.mp3	e4ef54c9a28d00162451744ecc36cda80dc9fda25adc7f7cdf2965a00d0eaa52	It was bought for a geat deal of money by Howard Dobell, his uncle.		2	0	twenties	male_masculine	England English		en	
70929efb3697005155775805225a67e9cfb979b65ef86e2faf95cb30ef18cd656541caf6dcee49560fcdd5e7851347d39d88be4d5454f0271c1760c653d1d455	common_voice_en_40050874.mp3	e8cefef8856ad9b16ae5c2bf2696e704a1fb8f01b31b6ef04273a020a0a7b807	Rene was a member in the Follies.		2	0	twenties	male_masculine	United States English		en	
7431ab7a277b7d0a386863293a6c93700e500ab7226996fe25448f546c062100a119333fbe63e7850220c7155fb843ad33f1fd1e784087dec15c15f5b7c0c97c	common_voice_en_40062656.mp3	e8e012229110a3b1c4376704b156b1ebe46a02a3067e2108c746a1e1529622c0	I tried to whittle it down from twenty to keep the post short.		6	0	teens	female_feminine	United States English,California		en	
758a8945cc1bc637f4a4592da739363d80a56bd1a1bc6822be003d43565672001f613243844131d8518c480d8d3e0ce5773a95f7c9f186b6143c9d3661ff00d0	common_voice_en_40098604.mp3	e90ad9c9f5475c5fe19e0205a1e7582d9ac12393299ddf02dce78e5f1e52460b	Furnas County, Nebraska, is named in his honor.		2	0	twenties	male_masculine	Southern African (South Africa, Zimbabwe, Namibia)		en	
80af6f7c854fe5ed8ba1bfdad00b95a52e4a913cd5ea81e89c1f3655073d56c99f7a9c7ea087d7d28f0d3dcf844146be33ed0077050e03bc97a9a2d49d9a38c3	common_voice_en_39746951.mp3	e530894870766954f2d5d69cd1a457e773bff204ea60317e448d03cccc02b4c3	Their earliest known location was on Yazoo River, near the Chakchiuma and Chickasaw tribes.		2	0	twenties	male_masculine	England English		en	
81d761fa74fb5bae918dbaf2e22a5393f8c5e1de93c185979e5687ca7cfd127ef285f32baccb85d36f7c2a9796e7c861787b16dcf01cade5d34e51f76ad05009	common_voice_en_39979187.mp3	e848578d252967d47379f5389fe563ced0fbff0f7bb9478016902ad77562da32	She is also a Senior Adviser at Lazard.		3	0	twenties	male_masculine	England English,Singaporean English		en	
8417d18cd2978f54ccff9488e2ddb39a4811ae74ad3a27928a39b1bb1221bfa425e5aa47640b865d85f9b2c26b0a39baaac729c3e30e14e58ff1605841d3de52	common_voice_en_39995540.mp3	e846bf8ac255183248d7e694a38f347db4fdf0de7ada66e848d30313d6cb8fd4	Milli Vanilli's Grammy was withdrawn four days later.		2	0	teens	male_masculine			en	
